AU,Provider,Continent,Country,City,Latitude,Longitude,index
ap-southeast-2.ec2.cloudharmony.net,Amazon EC2,OC,AU,Sydney,-33.8591,151.2002,0
australia-southeast1.gce.cloudharmony.net,Google,OC,AU,Sydney,-33.8591,151.2002,1
australia-east.azure.cloudharmony.net,Microsoft,OC,AU,Sydney,-33.8591,151.2002,2
sa-east-1.ec2.cloudharmony.net,Amazon EC2,SA,BR,Sao Paulo,-23.5475,-46.6361,3
southamerica-east1.gce.cloudharmony.net,Google,SA,BR,Sao Paulo,-23.5475,-46.6361,4
brazil-south.azure.cloudharmony.net,Microsoft,SA,BR,Sao Paulo,-23.5475,-46.6361,5
ca-central-1.ec2.cloudharmony.net,Amazon EC2,,CA,Toronto,43.6644,-79.4195,6
northamerica-northeast1.gce.cloudharmony.net,Google,,CA,Toronto,43.6644,-79.4195,7
canada-central.azure.cloudharmony.net,Microsoft,,CA,Toronto,43.6644,-79.4195,8
eu-central-1.ec2.cloudharmony.net,Amazon EC2,EU,DE,Frankfurt am Main,50.1188,8.6843,9
europe-west3.gce.cloudharmony.net,Google,EU,DE,Frankfurt am Main,50.1188,8.6843,10
germany-westcentral.azure.cloudharmony.net,Microsoft,EU,DE,Frankfurt am Main,50.1188,8.6843,11
eu-west-2.ec2.cloudharmony.net,Amazon EC2,EU,GB,London,51.5164,-0.093,12
europe-west2.gce.cloudharmony.net,Google,EU,GB,London,51.5164,-0.093,13
uk-south.azure.cloudharmony.net,Microsoft,EU,GB,London,51.5164,-0.093,14
ap-east-1.ec2.cloudharmony.net,Amazon EC2,AS,HK,Hong Kong,22.25,114.1667,15
asia-east2.gce.cloudharmony.net,Google,AS,HK,Hong Kong,22.25,114.1667,16
asia-east.azure.cloudharmony.net,Microsoft,AS,HK,Hong Kong,22.25,114.1667,17
ap-south-1.ec2.cloudharmony.net,Amazon EC2,AS,IN,Mumbai,19.0748,72.8856,18
asia-south1.gce.cloudharmony.net,Google,AS,IN,Mumbai,19.0748,72.8856,19
india-west.azure.cloudharmony.net,Microsoft,AS,IN,Mumbai,19.0748,72.8856,20
ap-northeast-1.ec2.cloudharmony.net,Amazon EC2,AS,JP,Tokyo,35.685,139.7514,21
asia-northeast1.gce.cloudharmony.net,Google,AS,JP,Tokyo,35.685,139.7514,22
japan-east.azure.cloudharmony.net,Microsoft,AS,JP,Tokyo,35.685,139.7514,23
ap-northeast-2.ec2.cloudharmony.net,Amazon EC2,AS,KR,Seoul,37.5985,126.9783,24
asia-northeast3.gce.cloudharmony.net,Google,AS,KR,Seoul,37.5985,126.9783,25
korea-central.azure.cloudharmony.net,Microsoft,AS,KR,Seoul,37.5985,126.9783,26
ap-southeast-1.ec2.cloudharmony.net,Amazon EC2,AS,SG,Singapore,1.2929,103.8547,27
asia-southeast1.gce.cloudharmony.net,Google,AS,SG,Singapore,1.2929,103.8547,28
asia-southeast.azure.cloudharmony.net,Microsoft,AS,SG,Singapore,1.2929,103.8547,29
us-west2-a.gce.cloudharmony.net,Google,,US,San Jose,37.3388,-121.8914,30
us-west-1.ec2.cloudharmony.net,Amazon EC2,,US,San Jose,37.3388,-121.8914,31
us-west.azure.cloudharmony.net,Microsoft,,US,San Jose,37.3388,-121.8914,32
us-east.azure.cloudharmony.net,Microsoft,,US,Washington,38.8939,-77.0365,33
us-east4.gce.cloudharmony.net,Google,,US,Washington,38.8939,-77.0365,34
us-east-1.ec2.cloudharmony.net,Amazon EC2,,US,Washington,38.8939,-77.0365,35
